t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1971,31.98016,33.24936,28.35981,17.35961,15.08303,18.81248,13.75848,11.11837,6.931768,9.249967,36.89235,27.02887,22.80908,21.62796,19.4147,22.0575,15.97119,7.529712,17.56797,6.026168,11.05897,10.42422,21.75228,34.20819,14.42244,9.896796
1972,33.71321,35.78314,28.83725,17.52254,15.76894,18.98777,13.87925,11.04264,6.903065,9.363346,37.77064,27.26257,23.21298,21.76418,19.42641,22.1401,16.00488,7.5086,17.73616,6.183494,11.08312,10.39131,22.93941,35.48835,14.30354,9.851848
1973,35.52192,37.93759,29.32266,17.58045,16.33262,18.93903,13.89976,11.11323,6.816982,9.755754,38.65942,27.50291,23.26646,22.33102,19.54422,22.43517,16.77526,7.506444,18.04068,6.353756,11.12951,10.40547,24.15165,37.4627,14.32402,9.799597
1974,36.82804,37.64246,29.44117,17.40198,17.1927,15.58355,15.1553,11.15351,6.899183,9.968973,38.87601,28.54181,23.5337,22.66441,19.60421,22.61397,17.92286,7.476989,18.2928,6.289456,11.16717,10.50913,23.92005,39.5915,14.3406,9.58972
1975,37.74465,37.79404,29.6866,17.57909,16.46624,15.66459,15.25438,10.99533,6.905293,10.04729,39.13636,28.96178,23.96271,23.02589,19.6714,22.80867,20.12987,7.507403,18.51269,6.319635,11.17418,10.56295,24.47286,40.42216,14.27171,9.697793
1976,39.13669,40.27991,29.79454,17.95282,17.83237,15.96779,15.46484,10.99572,6.916881,9.944115,39.84505,29.5097,24.72172,23.45107,19.75133,23.02816,19.77277,7.499735,18.84256,6.507604,11.21844,10.55913,24.79374,39.91882,14.31021,9.619023
1977,39.69741,42.19562,29.78269,18.52846,18.79739,16.55839,15.854,11.13776,6.984469,9.62694,40.29588,30.00521,24.82369,23.86236,19.82798,23.2411,20.62467,7.557673,19.04752,6.663212,11.27849,10.56052,25.33729,40.77538,14.32394,9.646339
1978,40.34058,44.10296,30.36143,18.66324,18.75361,16.62489,15.85987,11.15639,6.977106,9.543492,40.88198,30.6946,24.73656,24.29355,19.90933,23.46418,21.17272,7.595934,19.42709,6.968246,11.33986,10.66588,26.11531,41.11288,14.39696,9.738177
1979,40.74776,45.16231,31.25817,18.41359,19.70003,17.11976,16.30533,11.18037,6.926919,9.531206,41.56765,31.20472,24.43406,24.46388,19.92615,23.55609,22.51009,7.537541,19.83932,7.332408,11.42353,10.69502,27.13415,41.15225,14.46396,9.823124
1980,40.95783,45.25827,32.44275,18.21244,20.53018,17.62307,16.47629,11.02797,6.87932,10.04572,41.87138,32.60036,23.95728,24.88902,20.0046,23.77614,23.22003,7.608048,19.79726,7.770698,11.493,10.70221,27.19576,41.26069,14.53845,9.703285
