t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1971,24.97379,25.88403,21.69906,13.0523,11.50409,14.4678,10.31822,8.184629,5.038033,6.988162,28.56562,20.45495,17.07255,16.42129,14.59606,16.92427,12.04722,5.524786,13.24768,4.410579,8.156011,7.625756,16.53829,26.9343,10.52717,7.198364
1972,26.3268,27.85696,22.08279,13.18202,12.04002,14.61245,10.41346,8.133464,5.018945,7.074259,29.25548,20.64689,17.38694,16.53878,14.60934,17.00244,12.08522,5.511186,13.3908,4.525733,8.176329,7.605435,17.45433,27.95169,10.445,7.170863
1973,27.73884,29.53462,22.4734,13.23284,12.48377,14.58485,10.43351,8.190059,4.958107,7.371192,29.95398,20.84418,17.43909,16.98402,14.70244,17.24418,12.68017,5.511489,13.63733,4.650356,8.213059,7.619551,18.39096,29.5168,10.46456,7.137983
1974,28.7584,29.30531,22.58338,13.10568,13.15537,12.00905,11.38103,8.224352,5.019661,7.532767,30.13203,21.64744,17.65164,17.25237,14.75208,17.39707,13.56181,5.491741,13.84483,4.603302,8.243373,7.699248,18.22878,31.20485,10.48128,6.99014
1975,29.47376,29.42376,22.79116,13.24633,12.61326,12.07988,11.46056,8.112261,5.025875,7.592416,30.3442,21.98215,17.98588,17.54265,14.80718,17.56264,15.2478,5.515964,14.02846,4.625397,8.251067,7.742482,18.66467,31.87067,10.4355,7.073992
1976,30.56127,31.35987,22.89299,13.53416,13.67418,12.32231,11.62375,8.117067,5.036128,7.514946,30.9016,22.41414,18.56401,17.8809,14.87006,17.74505,14.98998,5.512442,14.29645,4.765058,8.287216,7.744339,18.92065,31.47188,10.47057,7.022191
1977,30.99964,32.85216,22.90306,13.97454,14.4296,12.78712,11.92146,8.226504,5.087173,7.275731,31.2593,22.80696,18.64904,18.20916,14.9305,17.92284,15.64908,5.557155,14.4703,4.88113,8.335057,7.750017,19.347,32.14524,10.48751,7.04779
1978,31.50241,34.33803,23.36788,14.08267,14.4116,12.84766,11.93108,8.244838,5.08364,7.213139,31.72219,23.34786,18.59202,18.55322,14.9945,18.10888,16.0786,5.587423,14.77749,5.10681,8.383908,7.832031,19.95306,32.40934,10.54791,7.120587
1979,31.82092,35.16371,24.07868,13.90068,15.15552,13.23969,12.27155,8.267148,5.048887,7.204326,32.26264,23.75315,18.373,18.69855,15.00991,18.19406,17.10881,5.546587,15.11045,5.376033,8.449291,7.858128,20.74401,32.4384,10.60394,7.188433
1980,31.9855,35.23932,25.01288,13.75516,15.81179,13.63894,12.40564,8.158972,5.015995,7.593729,32.50691,24.83364,18.02267,19.03913,15.07177,18.37862,17.66355,5.600605,15.09794,5.699858,8.504214,7.868108,20.80373,32.52193,10.66551,7.106387
