t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1970,16.4296694817,154.174419450815,30.637896714020002,18.421947775468663,53.66781002149,60.77028252223921,28.982519644340854,31.769923035124677,9.62806410437617,10.757946757520001,243.82199147038162,56.31653420441328,13.8435526096,31.075080484527998,14.222752530896798,87.81097281549089,30.186931327274692,109.26568481919999,20.5188913821415,149.3551338146221,40.80247608891441,20.196312796163696,55.57044901112001,13.610793769889625,25.05696815725153,5.310922285316811
1971,16.67862306722,155.59551119177283,32.007198789018,19.06354060340265,55.9490688196,62.71951385454319,30.023047064688207,33.33115580864526,10.173698860716616,11.060667146730001,246.1205931052635,57.571408648180466,14.457138811832001,31.81662252388486,14.679614184825974,89.46204098727203,31.84690791317542,113.44189902822403,21.53758736337921,153.0110924035659,42.32690502982604,21.224811106264397,57.107350439428004,13.864762181523593,26.402016551716855,5.766039144339389
1972,16.900363741535998,157.02199296593457,33.427096170496,19.721845401773287,58.28657054805,64.71236253473445,31.083348630809937,34.9557283645419,10.742822456036587,11.37625681276,248.38738563808477,58.84406631804015,15.099343864128,32.5611741834982,15.14922915452095,91.14920041024509,33.58730469523578,117.76041117809598,22.588732441844314,156.61457899226423,43.88674532177785,22.289005728854892,58.68740909948401,14.109894496460786,27.809446216157472,6.245919970304295
1973,17.103069369504,158.46014627580695,34.892038231518,20.394610298131436,60.68875513131,66.75534976615009,32.172601777693124,36.655278115875404,11.337070269325974,11.70142948774,250.60702828557413,60.13567673273729,15.765102886308002,33.303368301272165,15.62665592523608,92.87076936291037,35.417210008904235,122.23423018419199,23.659602984150776,160.10443858021137,45.47546273154198,23.38837341847536,60.287398549298,14.348793151860086,29.27759265729496,6.751783892659146
1974,17.299236516772,159.913478283334,36.394084485330005,21.078410021302496,63.166743022110005,68.85711158933735,33.304142081235966,38.44554278712566,11.958529161554852,12.03144989991,252.75636908737877,61.44724251268699,16.44660642152,34.035371788418004,16.104186356848363,94.61871938550914,37.34821173590948,126.88003256473596,24.731564817042287,163.41201493822237,47.08410889943463,24.522082080826454,61.875563898399996,14.585281891131052,30.803117821205852,7.284703198188042
1975,17.49810328192,161.38511804030796,37.92540741811,21.770743119501823,65.7294314502,71.02353450110387,34.4889298449532,40.33908775926149,12.609131570061116,12.363062847250001,254.8186867348322,62.77856120004939,17.137812669240002,34.751528331399996,16.576541944590133,96.387355183469,39.39197084493461,131.71052128455997,25.790590919110247,166.49346765131256,48.70784992417088,25.68943591561698,63.42741264899999,14.822395819871124,32.38368555289576,7.845739405212153
1976,17.707575839474,162.9008852992942,39.467471535499996,22.42833124544199,68.33438108496,73.25773731846057,35.72054635655808,42.342546243783794,13.299320759035226,12.695153217623998,256.56296657922366,64.10852646518616,17.737876753016,35.41063715654123,16.99614089517191,97.98773937257987,41.38868446982461,136.97886749312397,26.840736472676227,173.08645181412876,50.54321516648186,27.030006795059144,64.72983554009998,15.025159169109354,34.414021163272906,8.480382374990908
1977,17.921104004646,164.4515789406991,41.03518607127,23.092887439585056,71.02349860185801,75.55880781677337,37.006902587836656,44.458561762627205,14.021767926942983,13.028293269217999,258.22910212401246,65.45600329406498,18.341135441416,36.05232782966545,17.409791126190587,99.61354956323045,43.49359236114277,142.45033863641595,27.871740522535646,179.56236126828563,52.40142467525722,28.409357045251927,65.979469767478,15.2286149098476,36.52217337083559,9.148092404130963
1978,18.135703072924002,166.0284334142173,42.60980140569001,23.766436491408268,73.799749815204,77.91696576955712,38.355118039968495,46.67980811200416,14.777540115700738,13.366520667388,259.8129740381049,66.81150652181405,18.950796216096,36.68313865599208,17.823770069486432,101.26771311986921,45.73314498731131,148.117311267464,28.900681998831978,185.98362325365218,54.308339155233895,29.828648740535495,67.188950432912,15.43414788968994,38.71171220841045,9.8501082980297
1979,18.346238920114,167.61738038846397,44.1667661117,24.452100212550167,76.66564749551999,80.31764917552303,39.77330599331774,48.9927369541225,15.567520958028092,13.715698101654,261.3101788931055,68.16198594153238,19.572298213328,37.313097198518,18.24710540742084,102.95367254947713,48.14203100898734,153.965963186568,29.95507380002282,192.45477107186792,56.30100132614015,31.289773043635893,68.380379660754,15.643029524422452,40.98766664310883,10.587635103199899
